time,flow_id,path,security_req,security_level,functional_score,q_path,p_path,trust_path,risk_path,latency_path,degradation_path,feasible,SCI,regime
0,F1,SAT_1 -> SAT_2 -> UAV_2 -> BS_2 -> BS_3 -> DC_1,1.25,2.4942221722555598,1.711644870072881,0.48623274442207004,7.2436147271716695,0.8931935167144969,0.06584542189136797,69.94863140646663,0.0036673291720892578,True,0.06231998014562069,transition
0,F2,SAT_2 -> SAT_1 -> UAV_1 -> BS_2 -> GW_1 -> BS_1,1.05,2.6049003933740202,1.3635824585752203,0.33884889558123915,7.988423545536414,0.8398839044790453,0.09133607822975545,74.65134693925935,0.008088271082969414,True,0.06231998014562069,transition
0,F3,UAV_1 -> SAT_1 -> GW_1 -> BS_1 -> DC_1,0.95,2.5677021415636774,1.2625518966833005,0.33884889558123915,7.857458891199406,0.8515013738721551,0.07977576494517874,71.66234785749542,0.01924779735801284,True,0.06231998014562069,transition
0,F4,GW_2 -> SAT_2 -> SAT_1 -> GW_1 -> BS_1,0.82,2.5718103914001325,1.280139109121045,0.7120561254548874,7.012990150369088,0.8304114359499164,0.09121801538796986,90.40979447553352,0.04532495480058082,True,0.06231998014562069,transition
1,F1,SAT_1 -> SAT_2 -> UAV_2 -> BS_2 -> BS_3 -> DC_1,1.25,2.6412573917182356,1.932889024481819,0.6962830579401785,7.2436147271716695,0.8931935167144969,0.06473801723856129,69.94863140646663,0.00331465858060584,True,0.07283869804564734,transition
1,F2,SAT_2 -> SAT_1 -> UAV_1 -> GW_1 -> BS_2 -> BS_1,1.05,2.6348562623908505,1.385760359855334,0.3850215348056582,7.988423545536414,0.8267451353664702,0.0975599190915768,73.69801885820955,0.011869431926611856,True,0.07283869804564734,transition
1,F3,UAV_1 -> SAT_1 -> GW_1 -> BS_1 -> DC_1,0.95,2.6000229890207707,1.3063919959555095,0.3850215348056582,7.857458891199406,0.8515013738721551,0.08473359809528139,71.66234785749542,0.029996017843901056,True,0.07283869804564734,transition
1,F4,GW_2 -> SAT_2 -> UAV_2 -> BS_2 -> GW_1 -> BS_1,0.82,2.5938829297809107,1.440333483732015,0.7263001477108187,7.012990150369088,0.8976432292922839,0.06256508590226488,84.93054364203402,0.007284035607791699,True,0.07283869804564734,transition
2,F1,SAT_1 -> SAT_2 -> UAV_2 -> BS_2 -> BS_3 -> DC_1,1.25,2.5593416117327297,1.8124137545602996,0.5792605151037415,7.2436147271716695,0.8931935167144969,0.06479290608797755,69.94863140646663,0.00263016662952254,True,0.07631841538084769,transition
2,F2,SAT_2 -> SAT_1 -> UAV_1 -> BS_2 -> GW_1 -> BS_1,1.05,2.6566865482823885,1.441688690804062,0.41282911687890766,7.988423545536414,0.8398839044790453,0.09098399099717386,74.65134693925935,0.010489445367766245,True,0.07631841538084769,transition
2,F3,UAV_1 -> SAT_1 -> GW_1 -> BS_1 -> DC_1,0.95,2.6194882964720456,1.333993737975442,0.41282911687890766,7.857458891199406,0.8515013738721551,0.08287861553037348,71.66234785749542,0.019230912273362454,True,0.07631841538084769,transition
2,F4,GW_2 -> SAT_2 -> SAT_1 -> GW_1 -> BS_1,0.82,2.698090084663545,1.405860791277404,0.8924556872597627,7.012990150369088,0.8304114359499164,0.09411085649031757,90.40979447553352,0.03977208061099427,True,0.07631841538084769,transition
3,F1,SAT_1 -> SAT_2 -> UAV_2 -> BS_2 -> BS_3 -> DC_1,1.25,2.702132787746506,2.0190770483915053,0.7832479094091361,7.2436147271716695,0.8931935167144969,0.06499677267098802,69.94863140646663,0.001454969459060729,True,0.07910527572651392,transition
3,F2,SAT_2 -> SAT_1 -> UAV_1 -> BS_2 -> GW_1 -> BS_1,1.05,2.6528756862955514,1.437183527880719,0.4073850283262835,7.988423545536414,0.8398839044790453,0.0884287797583954,74.65134693925935,0.018358473325654195,True,0.07910527572651392,transition
3,F3,UAV_1 -> SAT_1 -> GW_1 -> BS_1 -> DC_1,0.95,2.6156774344852085,1.3304487290624365,0.4073850283262835,7.857458891199406,0.8515013738721551,0.078922782121697,71.66234785749542,0.013197348843335021,True,0.07910527572651392,transition
3,F4,GW_2 -> SAT_2 -> UAV_2 -> BS_2 -> GW_1 -> BS_1,0.82,2.633746362969733,1.484579189942419,0.7832479094091361,7.012990150369088,0.8976432292922839,0.061787977330955826,84.93054364203402,0.005807841049278716,True,0.07910527572651392,transition
4,F1,SAT_1 -> SAT_2 -> UAV_2 -> BS_2 -> BS_3 -> DC_1,1.25,2.5530339909390145,1.8039525758956414,0.5702496282555768,7.2436147271716695,0.8931935167144969,0.06227252450556976,69.94863140646663,0.003084102162737409,True,0.07259616917213425,transition
4,F2,SAT_2 -> SAT_1 -> UAV_1 -> BS_2 -> GW_1 -> BS_1,1.05,2.733395369872123,1.550756671705011,0.5224131477213855,7.988423545536414,0.8398839044790453,0.0885548764259703,74.65134693925935,0.005128313532927858,True,0.07259616917213425,transition
4,F3,UAV_1 -> SAT_1 -> GW_1 -> BS_1 -> DC_1,0.95,2.69619711806178,1.4354579733056863,0.5224131477213855,7.857458891199406,0.8515013738721551,0.08148005552311324,71.66234785749542,0.01047589775619479,True,0.07259616917213425,transition
4,F4,GW_2 -> SAT_2 -> UAV_2 -> BS_2 -> GW_1 -> BS_1,0.82,2.4846475661622414,1.3156461725158843,0.5702496282555768,7.012990150369088,0.8976432292922839,0.06209153618014344,84.93054364203402,0.0022238952258947604,True,0.07259616917213425,transition
5,F1,SAT_1 -> SAT_2 -> UAV_2 -> BS_2 -> BS_3 -> DC_1,1.25,2.588111558656402,1.8570622428691108,0.6203604392804164,7.2436147271716695,0.8931935167144969,0.060743142774009364,69.94863140646663,0.0014003878569335494,True,0.08228037842902501,saturation
5,F2,SAT_2 -> SAT_1 -> GW_1 -> UAV_1 -> BS_2 -> BS_1,1.05,2.828346636754298,1.527346611135403,0.7316346950871462,7.857458891199406,0.7720260157415195,0.12034903132581151,84.23162921727284,0.017570197043010365,True,0.08228037842902501,saturation
5,F3,UAV_1 -> SAT_1 -> GW_1 -> BS_1 -> DC_1,0.95,2.676107002076033,1.4088898198389312,0.49371298202746106,7.857458891199406,0.8515013738721551,0.08338628722836608,71.66234785749542,0.020174656173186683,True,0.08228037842902501,saturation
5,F4,GW_2 -> SAT_2 -> UAV_2 -> BS_2 -> GW_1 -> BS_1,0.82,2.519725133879629,1.3559457589781776,0.6203604392804164,7.012990150369088,0.8976432292922839,0.06358422097376441,84.93054364203402,0.006378288867743681,True,0.08228037842902501,saturation
6,F1,SAT_1 -> SAT_2 -> UAV_2 -> BS_2 -> BS_3 -> DC_1,1.25,2.6547658130268146,1.9531878257401036,0.71558080266672,7.2436147271716695,0.8931935167144969,0.06250671593810517,69.94863140646663,0.0014523941362937123,True,0.0733492135557442,transition
6,F2,SAT_2 -> SAT_1 -> UAV_1 -> BS_2 -> GW_1 -> BS_1,1.05,2.6395975269902316,1.416914815009088,0.38841622931868386,7.988423545536414,0.8398839044790453,0.08997375896622073,74.65134693925935,0.0244706324566489,True,0.0733492135557442,transition
6,F3,UAV_1 -> SAT_1 -> GW_1 -> BS_1 -> DC_1,0.95,2.602399275179889,1.3110010768570741,0.38841622931868386,7.857458891199406,0.8515013738721551,0.08163041091781084,71.66234785749542,0.01898233685597785,True,0.0733492135557442,transition
6,F4,GW_2 -> SAT_2 -> UAV_2 -> BS_2 -> GW_1 -> BS_1,0.82,2.5863793882500414,1.4323044642775145,0.71558080266672,7.012990150369088,0.8976432292922839,0.0617888088401757,84.93054364203402,0.00891637351453958,True,0.0733492135557442,transition
7,F1,SAT_1 -> SAT_2 -> UAV_2 -> BS_2 -> BS_3 -> DC_1,1.25,2.5964747899973712,1.8676792408615686,0.6323079126246579,7.2436147271716695,0.8931935167144969,0.06486178747731634,69.94863140646663,0.0019240043066818785,True,0.08136758933026285,saturation
7,F2,SAT_2 -> SAT_1 -> UAV_1 -> GW_1 -> BS_2 -> BS_1,1.05,2.7638577234262485,1.5639514423873417,0.5693093362847989,7.988423545536414,0.8267451353664702,0.09734614411466169,73.69801885820955,0.007505954218209072,True,0.08136758933026285,saturation
7,F3,UAV_1 -> SAT_1 -> GW_1 -> BS_1 -> DC_1,0.95,2.7290244500561696,1.4783562813518198,0.5693093362847989,7.857458891199406,0.8515013738721551,0.0775910390129514,71.66234785749542,0.01990942915287918,True,0.08136758933026285,saturation
7,F4,GW_2 -> SAT_2 -> UAV_2 -> BS_2 -> GW_1 -> BS_1,0.82,2.5603812225018614,1.4028225057155188,0.6784405658836052,7.012990150369088,0.8976432292922839,0.06250398974098051,84.93054364203402,0.005867629279428995,True,0.08136758933026285,saturation
8,F1,SAT_1 -> SAT_2 -> UAV_2 -> BS_2 -> BS_3 -> DC_1,1.25,2.665387897913846,1.96800822486385,0.7307552096481935,7.2436147271716695,0.8931935167144969,0.06325910162682302,69.94863140646663,0.002348487325253686,True,0.07507566661832077,transition
8,F2,SAT_2 -> SAT_1 -> UAV_1 -> BS_2 -> GW_1 -> BS_1,1.05,2.6471651305154515,1.426882630766993,0.3992270914975691,7.988423545536414,0.8398839044790453,0.09294902245375551,74.65134693925935,0.013856853901754337,True,0.07507566661832077,transition
8,F3,UAV_1 -> SAT_1 -> GW_1 -> BS_1 -> DC_1,0.95,2.6099668787051087,1.3217705108873217,0.3992270914975691,7.857458891199406,0.8515013738721551,0.08091400132137852,71.66234785749542,0.020747794712473646,True,0.07507566661832077,transition
8,F4,GW_2 -> SAT_2 -> UAV_2 -> BS_2 -> GW_1 -> BS_1,0.82,2.5970014731370727,1.4435315008334249,0.7307552096481935,7.012990150369088,0.8976432292922839,0.06319818624049599,84.93054364203402,0.008389384897397788,True,0.07507566661832077,transition
9,F1,SAT_1 -> SAT_2 -> UAV_2 -> BS_2 -> BS_3 -> DC_1,1.25,2.5821566105476568,1.8466353382187886,0.6118533705536376,7.2436147271716695,0.8931935167144969,0.06454968273024717,69.94863140646663,0.0031693568147618894,True,0.07461797124504893,transition
9,F2,SAT_2 -> SAT_1 -> UAV_1 -> GW_1 -> BS_2 -> BS_1,1.05,2.716362261184619,1.5004250358161162,0.5014586759396132,7.988423545536414,0.8267451353664702,0.09796857953869306,73.69801885820955,0.014861085187906593,True,0.07461797124504893,transition
9,F3,UAV_1 -> SAT_1 -> GW_1 -> BS_1 -> DC_1,0.95,2.681528987814539,1.4174957275962297,0.5014586759396132,7.857458891199406,0.8515013738721551,0.07955175622019653,71.66234785749542,0.01894147553303948,True,0.07461797124504893,transition
9,F4,GW_2 -> SAT_2 -> UAV_2 -> BS_2 -> GW_1 -> BS_1,0.82,2.52746410258545,1.3654784732201866,0.6314161088601606,7.012990150369088,0.8976432292922839,0.062116015045138105,84.93054364203402,0.011345889378710224,True,0.07461797124504893,transition
10,F1,SAT_1 -> SAT_2 -> UAV_2 -> BS_2 -> BS_3 -> DC_1,1.25,2.616062503255394,1.8963256257044296,0.6602903601361191,7.2436147271716695,0.8931935167144969,0.06496904947847434,69.94863140646663,0.006017303105706263,True,0.061982395798516575,transition
10,F2,SAT_2 -> SAT_1 -> UAV_1 -> BS_2 -> GW_1 -> BS_1,1.05,2.558541500278884,1.2896677865437496,0.2726219054453301,7.988423545536414,0.8398839044790453,0.08959037732216073,74.65134693925935,0.025298195228979067,True,0.061982395798516575,transition
10,F3,UAV_1 -> SAT_1 -> GW_1 -> BS_1 -> DC_1,0.95,2.521343248468541,1.191690113767312,0.2726219054453301,7.857458891199406,0.8515013738721551,0.08272877146258094,71.66234785749542,0.016169727521126866,True,0.061982395798516575,transition
10,F4,GW_2 -> SAT_2 -> UAV_2 -> BS_2 -> GW_1 -> BS_1,0.82,2.547676078478621,1.3878628300085925,0.6602903601361191,7.012990150369088,0.8976432292922839,0.06383809431929072,84.93054364203402,0.010936706653572258,True,0.061982395798516575,transition
11,F1,SAT_1 -> SAT_2 -> UAV_2 -> BS_2 -> BS_3 -> DC_1,1.25,2.455408762887127,1.6500019458946973,0.4307850167528807,7.2436147271716695,0.8931935167144969,0.06428227201703163,69.94863140646663,0.004540864124487416,True,0.06607848811756376,transition
11,F2,SAT_2 -> SAT_1 -> UAV_1 -> BS_2 -> GW_1 -> BS_1,1.05,2.6519737746373764,1.4356716457327134,0.4060965831003191,7.988423545536414,0.8398839044790453,0.08887713563939119,74.65134693925935,0.01741432233581792,True,0.06607848811756376,transition
11,F3,UAV_1 -> SAT_1 -> GW_1 -> BS_1 -> DC_1,0.95,2.627987714410425,1.3463858911262707,0.42497114250516416,7.857458891199406,0.8515013738721551,0.08084373090485689,71.66234785749542,0.02871411176123477,True,0.06607848811756376,transition
11,F4,GW_2 -> SAT_2 -> SAT_1 -> GW_1 -> BS_1,0.82,2.5824631641645004,1.2899702908871804,0.7272743722611271,7.012990150369088,0.8304114359499164,0.0939300918051872,90.40979447553352,0.05424631515138937,True,0.06607848811756376,transition
12,F1,SAT_1 -> SAT_2 -> UAV_2 -> BS_2 -> BS_3 -> DC_1,1.25,2.682636578341148,1.9918152309475647,0.7553961816871961,7.2436147271716695,0.8931935167144969,0.06472048987973646,69.94863140646663,0.0019425775562660291,True,0.07848478482320528,transition
12,F2,SAT_2 -> SAT_1 -> UAV_1 -> GW_1 -> BS_2 -> BS_1,1.05,2.6634695045510437,1.4273949481514103,0.42589759503450575,7.988423545536414,0.8267451353664702,0.096937234729035,73.69801885820955,0.007975070808115816,True,0.07848478482320528,transition
12,F3,UAV_1 -> SAT_1 -> GW_1 -> BS_1 -> DC_1,0.95,2.6286362311809643,1.3471796503435547,0.42589759503450575,7.857458891199406,0.8515013738721551,0.08104001818394073,71.66234785749542,0.026231627280215136,True,0.07848478482320528,transition
12,F4,GW_2 -> SAT_2 -> UAV_2 -> BS_2 -> GW_1 -> BS_1,0.82,2.6142501535643747,1.462842823633098,0.7553961816871961,7.012990150369088,0.8976432292922839,0.06262638299200882,84.93054364203402,0.007155879899560397,True,0.07848478482320528,transition
13,F1,SAT_1 -> SAT_2 -> UAV_2 -> BS_2 -> BS_3 -> DC_1,1.25,2.49412646156125,1.7109574330036057,0.48609601485877085,7.2436147271716695,0.8931935167144969,0.06712243561172063,69.94863140646663,0.0051618123594780515,True,0.06957760077312394,transition
13,F2,SAT_2 -> SAT_1 -> UAV_1 -> GW_1 -> BS_2 -> BS_1,1.05,2.6613637306572953,1.4236447938758776,0.4228893466148653,7.988423545536414,0.8267451353664702,0.0987187718510575,73.69801885820955,0.011828490617927559,True,0.06957760077312394,transition
13,F3,UAV_1 -> SAT_1 -> GW_1 -> BS_1 -> DC_1,0.95,2.626530457287216,1.345661704257552,0.4228893466148653,7.857458891199406,0.8515013738721551,0.07787517032878996,71.66234785749542,0.01417152893214216,True,0.06957760077312394,transition
13,F4,GW_2 -> SAT_2 -> SAT_1 -> GW_1 -> BS_1,0.82,2.6071801939785773,1.3162885033956007,0.7625844148526655,7.012990150369088,0.8304114359499164,0.09138884582769084,90.40979447553352,0.044946164757905215,True,0.06957760077312394,transition
14,F1,SAT_1 -> SAT_2 -> UAV_2 -> BS_2 -> BS_3 -> DC_1,1.25,2.5725079353056812,1.8321577197926258,0.5980695487793866,7.2436147271716695,0.8931935167144969,0.06480374975311717,69.94863140646663,0.003930786077859262,True,0.06722830453106717,transition
14,F2,SAT_2 -> SAT_1 -> UAV_1 -> BS_2 -> GW_1 -> BS_1,1.05,2.6426693161348553,1.423155309020545,0.39280449952528906,7.988423545536414,0.8398839044790453,0.0859841975727195,74.65134693925935,0.026692102182727606,True,0.06722830453106717,transition
14,F3,UAV_1 -> SAT_1 -> GW_1 -> BS_1 -> DC_1,0.95,2.6140134386429192,1.3273074052400446,0.405007891408727,7.857458891199406,0.8515013738721551,0.0809734648940094,71.66234785749542,0.03638634173158535,True,0.06722830453106717,transition
14,F4,GW_2 -> SAT_2 -> UAV_2 -> BS_2 -> GW_1 -> BS_1,0.82,2.524973085837949,1.3635869784914725,0.6278575135065875,7.012990150369088,0.8976432292922839,0.05979658815875295,84.93054364203402,0.009517654528821053,True,0.06722830453106717,transition
15,F1,SAT_1 -> SAT_2 -> UAV_2 -> BS_2 -> BS_3 -> DC_1,1.25,2.5081910761408808,1.7333266032071888,0.5061883214011005,7.2436147271716695,0.8931935167144969,0.0664327747577096,69.94863140646663,0.0016138913006389973,True,0.06896065795828915,transition
15,F2,SAT_2 -> SAT_1 -> UAV_1 -> BS_2 -> GW_1 -> BS_1,1.05,2.616553373968619,1.382242750231576,0.3554960107163797,7.988423545536414,0.8398839044790453,0.08971267930853227,74.65134693925935,0.018075260807586993,True,0.06896065795828915,transition
15,F3,UAV_1 -> SAT_1 -> GW_1 -> BS_1 -> DC_1,0.95,2.579355122158276,1.2782485029648278,0.3554960107163797,7.857458891199406,0.8515013738721551,0.0823387277995179,71.66234785749542,0.016269829882457777,True,0.06896065795828915,transition
15,F4,GW_2 -> SAT_2 -> SAT_1 -> GW_1 -> BS_1,0.82,2.6744661886493475,1.3830812136527089,0.858707264382337,7.012990150369088,0.8304114359499164,0.09293293175218398,90.40979447553352,0.03317312314747638,True,0.06896065795828915,transition
